City,State,State FP,State Name
Boise City,ID,16,
Greensboro,NC,37,
Joplin,MO,30,
Philadelphia,PA,42,
South Bend,IN,18,
Syracuse,NY,36,
Henderson,NV,32,
Columbus,OH,39,
Eugene,OR,41,
Harris,TX,48,Texas
Lima,OH,39,
Long Beach,CA,6,
Pittsburgh,PA,42,
West Lafayette,IN,18,
Albuquerque,NM,35,
Arlington,VA,51,
Charlotte,NC,37,
Chattanooga,TN,47,
Cleveland,OH,39,
Colorado Springs,CO,8,
Kansas City,MO,29,
Las Vegas,NV,32,
Lincoln,NE,31,
Miami-Dade,FL,12,Florida
Red Wing,MN,27,
Richardson,TX,48,
San Jose,CA,6,
St. Petersburg,FL,12,
Urbana,IL,17,
Salt Lake City,UT,49,
Yonkers,NY,36,
Ames,IA,19,
Austin,TX,48,
Buffalo,NY,36,
Detroit,MI,26,
Jackson,TN,47,
Phoenix,AZ,4,
Washington,DC,11,
Duluth,MN,27,
Harlem,NY,36,
Lafayette,LA,22,
Madison,WI,55,
Raleigh,NC,37,
San Diego,CA,6,
San Francisco,CA,6,
Burlington,VT,50,
Flint,MI,26,
Lexington-Fayette,KY,21,
Loiza,PR,0,
Turney,MO,29,
Springfield,OR,41,
Champaign,IL,17,
